,distance,width,movement_time
4606,60,6,984
2608,60,20,465
4509,160,20,666
2736,210,8,880
3,210,8,1128
2611,60,20,466
5826,210,8,1201
2793,60,14,575
3450,40,14,913
4209,75,18,488
4831,75,6,559
1704,160,18,672
2989,120,20,736
1454,120,20,707
5030,160,20,729
1323,60,8,583
5463,120,14,424
2628,75,8,608
5188,40,8,392
4399,40,8,496
356,210,10,800
3081,60,18,720
2227,75,10,677
2097,75,6,800
1638,40,6,689
505,40,18,512
3068,210,20,928
4640,120,18,782
1755,40,18,280
2188,40,18,369
1409,160,6,816
91,60,18,424
5898,120,20,648
3198,60,10,505
5991,160,8,952
3349,210,18,711
1379,160,10,712
4207,75,18,552
2770,75,8,836
1485,75,18,513
4025,120,20,464
2962,40,14,513
69,60,14,545
2303,60,8,578
1013,160,6,856
4254,60,8,554
5080,60,10,450
5793,210,8,667
2343,60,14,497
4218,210,18,647
760,40,8,574
709,40,10,691
2058,60,6,1007
607,160,18,814
846,160,8,1271
3073,210,20,835
5216,40,6,559
1598,210,8,690
139,75,8,727
4226,210,18,688
5156,60,18,350
3907,60,8,635
1846,160,6,616
687,120,18,843
2782,210,14,978
3634,120,18,865
419,75,8,856
4321,120,14,680
2156,40,14,456
4851,160,8,737
205,210,6,1056
3306,40,20,400
277,210,18,759
1860,60,8,481
3895,60,20,490
5197,40,8,512
1781,160,8,580
5429,75,10,513
5111,210,6,931
2581,120,8,1048
3388,120,20,609
2564,210,8,1129
3542,120,6,1015
4023,120,20,469
563,120,8,857
13,75,14,910
2804,40,6,678
4169,120,6,744
5865,40,20,466
4212,75,18,416
2380,160,8,810
409,40,20,632
4193,60,10,494
3965,120,10,944
1167,75,14,746
5474,60,6,554
2301,60,8,547
6038,120,6,888
5871,40,20,489
1416,210,18,824
4177,120,6,710
1660,75,14,624
5823,210,8,1184
78,120,6,1289
3300,160,8,853
3924,160,6,936
1465,120,14,724
2057,60,6,1082
4372,75,6,720
2222,75,10,821
564,120,8,1015
2920,160,18,770
860,160,10,1000
2893,160,8,965
4715,40,18,447
1135,40,20,486
869,210,18,990
1382,160,10,768
4816,210,14,821
2862,160,10,1202
5112,210,6,1031
4840,160,8,1213
2411,120,20,758
518,210,20,757
3262,210,6,1120
756,40,8,720
567,120,8,1049
3960,40,10,647
3438,75,8,528
502,160,8,863
4118,120,14,571
2638,160,20,722
2700,60,6,713
3502,60,10,1016
3182,210,20,963
6048,75,8,703
2726,160,14,782
2725,160,14,810
3555,210,10,1172
293,60,10,858
3644,75,8,1111
4653,210,8,833
1386,160,10,753
5750,40,8,363
636,210,6,1094
1402,160,6,1129
3092,75,18,767
3501,60,10,936
3123,120,10,840
3176,40,10,521
873,210,18,1239
4024,120,20,634
1506,75,20,478
4163,160,8,808
5256,60,6,741
5025,75,8,593
3810,160,10,648
3116,120,14,759
3120,120,10,1262
4255,60,8,948
2873,120,14,848
2124,120,6,1154
3327,210,8,1657
3204,60,18,529
2445,75,18,609
1522,120,10,667
4460,75,20,403
3690,60,18,592
5685,120,10,719
5048,120,10,641
3704,120,20,661
2463,210,18,832
4231,40,18,296
2091,75,6,771
4861,60,6,658
579,75,6,801
2588,40,6,615
594,160,10,1032
5637,120,18,506
956,60,8,769
3499,60,10,1006
609,160,18,952
2682,75,20,494
5915,40,8,959
595,160,10,797
4842,160,8,1019
1081,210,20,816
4936,60,20,424
5616,160,6,705
4996,40,6,645
2316,120,8,785
2841,120,18,713
5049,120,10,773
4265,75,18,536
3942,75,6,702
1719,40,8,488
4720,40,10,606
3350,210,18,713
1862,120,6,838
5884,160,18,826
5768,40,6,358
2155,40,14,456
2894,60,20,560
2381,160,8,961
4343,120,6,1152
2329,120,18,511
477,120,20,760
2526,160,6,944
5475,60,6,489
357,210,10,800
1978,160,10,880
252,40,20,417
5019,75,8,704
272,210,18,702
2592,40,6,553
5305,210,14,624
1810,210,6,1014
5116,210,6,1016
2825,40,8,735
2130,120,10,593
1059,75,18,641
1003,210,6,1106
5031,160,20,568
3286,120,8,846
346,120,10,984
5361,210,18,560
4630,60,10,639
4035,60,6,704
2689,75,10,720
3576,40,6,845
2079,120,14,630
2898,60,20,656
382,40,8,855
3121,120,10,989
1901,75,10,480
5260,60,20,336
5808,120,14,1136
4335,120,10,737
2619,40,20,399
3277,120,8,668
1326,60,8,623
5674,210,6,880
2027,160,14,795
861,160,10,976
5692,120,10,476
5375,75,18,415
3929,160,6,914
5957,160,20,737
3647,75,8,969
2551,120,14,769
3758,75,10,794
921,40,6,496
3160,40,18,589
3430,160,10,986
4150,120,8,888
5265,60,20,394
5316,120,14,582
2724,160,14,976
5218,40,6,526
165,40,14,472
5477,60,6,457
6026,60,6,809
5767,40,6,440
3272,60,6,759
6086,60,10,523
4300,60,18,561
1630,75,8,473
342,120,20,794
4921,210,6,968
5866,40,20,424
190,160,8,1091
5289,75,14,466
6062,75,20,466
2272,210,18,809
5551,120,8,643
1109,210,10,894
3256,210,6,920
4872,160,18,791
2654,120,6,769
5462,120,14,546
1640,40,6,614
4737,120,10,720
1378,160,10,816
2139,120,10,649
1042,75,8,857
2086,120,20,665
3677,75,14,725
3536,210,8,1538
5507,210,20,652
1203,60,6,530
4690,60,8,743
4633,60,10,742
5877,75,10,715
1259,210,14,1079
5473,60,6,534
5084,60,10,471
2727,160,14,825
426,60,10,560
2103,210,10,1120
5840,40,6,703
2341,60,14,703
2141,60,20,414
2182,40,18,297
343,120,20,598
2652,120,6,679
3870,160,20,624
4339,120,6,1319
2878,120,8,899
2239,40,10,473
718,75,10,987
5570,75,6,718
5074,60,14,410
780,120,18,711
3145,75,20,690
4187,60,10,511
2223,75,10,698
5672,210,6,775
3947,160,10,713
2889,160,8,816
4782,75,14,653
1740,75,6,658
3245,40,6,784
1159,40,6,695
5574,75,6,613
1397,40,14,596
4047,210,8,704
1707,40,14,504
5694,120,10,480
222,160,14,760
5961,160,20,1122
1629,75,8,474
3615,40,10,652
4760,120,20,640
5622,60,14,373
101,75,6,727
1807,210,6,632
842,60,20,738
1967,75,14,735
4862,60,6,567
714,75,10,1304
5676,160,20,558
4322,120,14,656
5243,160,8,730
3097,75,18,678
2896,60,20,529
237,60,20,406
2849,60,6,611
2506,40,14,567
5585,160,14,520
3170,75,6,672
5636,120,18,470
24,160,10,880
5626,60,14,354
414,75,8,697
5041,120,10,729
4223,210,18,743
4641,120,18,674
5163,60,18,458
2205,60,10,519
1592,120,20,536
2255,210,8,1377
5713,210,18,544
2410,120,20,714
641,210,6,1055
1908,75,20,278
3106,75,18,325
2788,210,14,882
