,distance,width,movement_time
558,160,6,1142
705,40,10,727
1890,210,10,705
3772,75,20,616
4622,40,10,440
5681,160,20,517
2872,120,14,849
2713,60,8,967
5611,160,6,816
2200,60,10,549
3082,60,18,559
61,120,8,1032
4576,210,8,1106
1132,40,20,446
234,60,20,590
3556,210,10,1517
3028,40,20,433
1986,160,8,1062
5056,160,6,871
5819,210,8,1394
699,60,18,640
5572,75,6,480
640,210,6,1353
4602,75,14,610
1702,160,18,562
4806,210,18,861
6104,40,10,471
2345,60,14,600
895,40,14,698
5447,160,18,591
909,40,20,368
4395,40,8,434
5201,160,14,814
4535,120,18,874
6129,160,14,1046
19,75,14,728
5852,160,6,1682
5508,210,20,578
5014,120,6,809
166,40,14,455
3072,210,20,769
3140,40,8,690
4503,160,20,606
2353,75,8,749
4090,75,8,634
4273,40,18,815
263,210,14,1153
3875,160,20,698
3358,60,20,444
4467,75,20,432
1508,160,8,997
3200,60,10,800
4211,75,18,439
5610,160,6,823
130,120,18,647
4902,160,20,592
1348,160,18,746
2,210,8,1024
4479,40,14,371
743,60,20,648
6037,120,6,1160
4424,40,20,369
4855,60,6,503
2599,75,6,782
3664,210,6,1192
2626,75,8,727
362,210,10,784
2930,40,18,484
2979,75,6,1075
3799,40,14,726
899,40,14,582
5656,75,18,369
4562,75,10,600
2415,120,20,626
3095,75,18,479
5169,40,10,445
4162,160,8,938
4825,75,20,510
5976,75,6,656
2284,40,6,561
5544,120,8,728
3177,40,10,358
6117,210,18,801
1293,40,8,598
614,210,18,1031
5026,75,8,767
2421,75,14,584
2667,210,6,1199
3184,210,20,766
2918,160,18,802
4458,160,6,893
1077,210,20,839
1361,210,6,1262
5395,40,18,320
2783,210,14,848
841,60,20,694
1871,120,6,814
3085,60,18,581
1249,75,8,720
571,120,8,691
4569,160,18,656
1484,75,18,527
199,75,10,623
592,120,6,967
2482,120,10,749
1558,120,10,623
2402,160,10,810
2207,60,10,478
3681,40,20,622
1099,210,10,872
658,210,14,1046
5868,40,20,461
2278,210,18,689
5394,40,18,359
3323,210,14,872
4963,210,10,719
2951,40,10,674
790,60,14,599
644,40,14,1000
1581,75,18,601
3940,75,6,912
5165,60,18,422
2586,40,6,557
4375,210,18,976
4313,60,14,510
864,160,10,1096
543,120,14,815
3060,75,14,733
3853,210,14,590
5300,210,20,688
577,75,6,1064
4478,40,14,361
402,40,20,847
1111,210,14,960
1133,40,20,481
4476,40,14,368
3324,210,8,1112
1787,60,6,482
4474,40,14,328
4289,160,14,925
4683,60,18,482
2735,210,8,1363
3818,120,10,778
1094,120,14,750
4155,120,8,704
2456,60,14,587
5480,60,6,561
4099,60,18,467
920,40,6,545
928,75,20,794
2251,75,18,347
1971,75,14,744
4883,120,6,777
1473,120,6,609
4550,160,10,702
2416,120,20,711
4827,75,20,521
3850,210,14,680
4435,210,20,752
1360,60,14,520
5109,210,6,1327
1575,75,18,480
1151,160,14,768
2582,120,8,840
1733,60,18,366
1795,120,14,605
723,75,10,780
2026,160,14,731
3562,40,8,952
1940,40,20,417
4030,60,6,568
5910,210,14,744
3661,210,6,1233
3767,75,10,512
4979,210,20,582
1463,120,14,703
1223,120,8,826
1493,210,8,874
5055,160,6,928
4521,210,6,1064
2975,75,6,1247
126,160,18,737
3333,210,8,1278
3523,210,20,843
5237,160,8,792
804,160,14,1102
5371,75,18,386
113,160,20,882
669,160,20,761
1599,210,8,991
4739,120,10,697
5230,75,20,391
5392,40,18,311
5919,40,8,593
2197,160,6,1127
4648,210,8,1170
4104,60,18,463
885,120,6,1049
4027,120,20,618
4264,75,18,539
2265,210,8,1272
134,120,18,695
1778,160,8,632
1588,120,20,640
5226,75,20,394
96,60,18,456
4612,60,6,584
452,60,14,835
6094,60,14,600
5488,75,8,544
4286,60,20,586
443,60,8,886
800,40,18,560
4008,160,14,750
2795,60,14,503
5228,75,20,344
5045,120,10,889
3682,40,20,658
774,120,18,1047
3312,210,14,687
5430,60,10,551
2044,160,18,743
4432,210,20,674
232,60,20,441
4464,75,20,449
4543,120,18,690
1008,210,6,889
211,210,6,1221
289,40,10,672
2547,120,14,607
2104,210,10,1114
3671,75,14,528
5836,75,14,679
3508,60,10,1002
4814,210,14,980
5189,40,8,497
5801,120,14,739
1345,160,18,702
3692,60,18,529
2624,75,8,708
872,210,18,1162
2336,60,14,511
2338,60,14,506
2001,160,20,677
5734,40,18,256
3589,60,8,840
2913,60,10,878
4406,120,20,784
2686,75,20,423
4461,75,20,352
4336,120,10,736
2955,40,14,495
3637,120,18,748
750,160,14,1051
4156,120,8,832
2275,210,18,656
3695,60,18,721
5987,40,18,504
3909,60,8,527
1969,75,14,432
127,120,18,609
2287,40,6,520
2680,75,20,473
514,210,20,699
2662,40,18,367
1306,210,20,856
2970,60,8,847
3316,210,14,772
5554,160,8,920
1879,160,14,559
791,60,14,577
496,160,8,1047
2618,40,20,351
2604,60,20,544
1859,60,8,598
1595,210,8,780
1623,160,20,786
5658,75,18,360
2056,60,6,839
2263,210,8,1144
3250,210,6,904
136,120,18,630
4291,160,14,831
2715,60,8,793
4809,210,18,784
5103,60,8,656
802,40,18,575
3732,60,14,529
5724,120,6,576
1808,210,6,903
2858,160,10,1108
4221,210,18,576
4587,40,6,432
5959,160,20,714
11,75,14,672
1634,75,8,632
1308,210,20,912
964,60,10,527
1935,75,20,584
3657,40,18,602
4560,75,10,646
4604,75,14,552
2117,120,6,883
3339,75,10,1160
2953,40,10,626
2039,160,18,831
2009,40,8,575
2292,40,6,581
2349,75,8,552
4547,160,10,919
2467,210,18,807
6069,75,20,559
1125,75,14,526
5245,60,6,760
4768,120,20,745
4573,160,18,633
1403,160,6,889
3876,160,20,639
653,210,14,1303
2375,210,20,864
2674,210,6,952
5444,160,18,552
494,160,8,846
3155,40,18,381
5065,60,14,455
2443,75,18,720
4045,210,8,793
3390,120,20,698
1770,60,14,430
1760,40,18,387
268,210,14,792
1311,210,20,784
2540,120,18,758
4396,40,8,676
1224,120,8,799
530,75,14,599
4716,40,18,498
3991,40,8,519
698,60,18,657
1669,210,20,609
6013,120,18,903
2998,120,6,818
5022,75,8,675
606,160,18,631
218,160,14,955
454,60,14,867
1265,210,14,897
2386,160,8,920
2571,210,8,1000
1424,210,10,911
4992,40,6,682
5487,75,8,450
3910,60,8,600
729,210,8,1296
4117,120,14,614
4765,120,20,559
110,160,20,727
2143,60,20,359
2775,120,10,992
538,75,20,669
3305,40,20,353
254,40,20,432
1914,75,20,279
958,60,10,773
3610,40,10,534
5791,210,8,632
3037,160,20,768
1643,40,6,496
3660,210,6,1648
3132,40,8,568
4627,40,10,441
1912,75,20,256
7,210,8,922
4468,75,20,448
3166,75,6,808
1435,60,10,455
1565,120,18,608
1804,210,6,886
4658,210,8,1033
2910,60,10,869
2368,210,14,839
5469,120,14,504
2753,160,14,1009
2470,210,18,826
4567,160,18,776
938,75,10,951
4681,60,18,498
3226,160,14,914
3828,120,14,1046
433,40,6,920
3859,210,10,865
4541,120,18,600
4628,60,10,968
5709,210,18,558
5599,40,14,352
1913,75,20,287
5771,40,6,520
5244,160,8,816
3741,160,20,722
3443,40,14,512
5765,40,6,451
6023,60,6,951
3650,40,18,528
2246,75,18,648
3406,160,18,602
798,40,18,582
2448,75,18,830
3139,40,8,650
3208,60,18,432
2133,120,10,705
2558,160,18,752
5857,160,6,1673
2905,60,10,831
4444,60,10,548
5493,75,20,422
3607,75,6,891
4889,40,14,420
3442,75,8,743
4174,120,6,761
3483,210,10,769
2906,60,10,820
2574,120,8,808
551,120,14,975
5807,120,14,872
5633,120,18,520
4236,40,18,366
3769,75,20,490
931,75,20,494
1505,75,20,489
809,160,14,986
1106,210,10,953
1929,75,20,408
5153,210,8,673
3489,60,8,730
3967,120,10,615
3569,40,6,799
1322,60,8,616
2215,60,10,394
637,210,6,1034
1347,160,18,758
4224,210,18,638
4533,75,8,936
3734,60,14,600
2492,60,10,553
5144,210,8,968
3866,210,10,791
304,40,18,385
4821,75,20,466
4898,160,20,801
2052,210,14,840
5799,120,14,1264
3800,40,14,503
5411,160,10,936
1023,160,20,847
2226,75,10,721
1921,210,20,1120
4511,160,20,648
1828,40,20,237
2561,160,18,736
5356,210,18,656
3197,60,10,512
4691,60,8,642
1477,75,18,541
5021,75,8,753
5491,75,8,569
4635,60,10,712
5601,40,14,323
3856,210,14,937
5817,40,14,486
1920,210,20,1187
5842,40,6,560
4660,160,6,879
751,160,14,919
92,60,18,378
3847,160,18,678
1427,210,10,925
1646,210,14,710
5913,210,14,672
1674,210,20,638
1090,120,14,621
4613,60,6,614
3902,60,8,534
569,120,8,944
3223,160,6,1352
0,210,8,1146
793,60,14,600
4941,40,20,375
2304,60,8,559
4453,160,6,880
1906,75,20,382
4144,40,14,390
5993,160,8,624
5548,120,8,751
3138,40,8,598
3046,160,20,832
4075,210,20,733
5577,210,10,775
5556,160,8,799
5118,210,6,799
257,40,20,385
5755,75,14,395
5129,210,10,671
1899,75,10,428
4673,75,18,543
795,40,18,724
3781,210,18,791
2113,210,10,1086
5753,75,14,336
5538,40,10,449
407,40,20,704
1944,40,20,370
2633,75,8,1057
5131,210,10,769
3174,40,10,494
5812,40,14,484
2742,160,6,1093
47,75,20,718
3724,120,8,929
2819,210,18,1042
1761,40,18,319
2802,40,6,801
2563,210,8,1294
1850,60,8,397
5645,60,20,287
5821,210,8,1486
2366,210,14,911
4544,160,10,889
525,75,14,656
1358,60,14,504
1142,160,14,986
5086,160,10,691
879,120,8,834
5191,40,8,553
3011,210,6,1129
2114,210,10,1082
2119,120,6,1032
182,160,8,982
1838,160,6,762
1793,120,14,461
5315,120,14,488
3964,40,10,507
926,40,6,990
4188,60,10,721
2128,120,6,1042
1902,75,10,489
3894,60,20,513
298,60,10,528
2428,75,14,488
866,210,18,1009
801,40,18,560
446,60,8,815
5695,40,20,257
5078,60,10,511
2511,40,14,473
2882,120,8,884
3495,60,8,897
6156,60,20,472
6064,75,20,520
3863,210,10,712
1355,60,14,474
767,120,10,1369
1832,40,20,247
2514,60,18,553
1103,210,10,932
3486,60,8,697
5141,160,18,639
1567,120,18,511
1380,160,10,718
2068,120,14,761
3733,60,14,583
4355,210,14,824
1254,75,8,672
561,160,6,1120
3181,40,10,495
5896,120,20,695
5277,120,8,614
1175,40,18,488
5185,75,10,634
4463,75,20,421
570,120,8,966
4812,210,14,992
